ZIP Code,Efficiency,One-Bedroom,Two-Bedroom,Three-Bedroom,Four-Bedroom
90660,"$1,770 ","$1,980 ","$2,500 ","$3,180 ","$3,520 "
90661,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90662,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90670,"$1,870 ","$2,090 ","$2,640 ","$3,350 ","$3,720 "
90671,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90701,"$2,100 ","$2,350 ","$2,970 ","$3,770 ","$4,180 "
90702,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90703,"$2,790 ","$3,120 ","$3,940 ","$5,010 ","$5,550 "
90704,"$1,880 ","$2,110 ","$2,660 ","$3,380 ","$3,750 "
90706,"$1,680 ","$1,890 ","$2,380 ","$3,020 ","$3,350 "
90707,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90710,"$1,600 ","$1,810 ","$2,290 ","$2,940 ","$3,240 "
90711,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90712,"$2,380 ","$2,670 ","$3,370 ","$4,280 ","$4,750 "
90713,"$2,470 ","$2,780 ","$3,500 ","$4,450 ","$4,930 "
90714,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90715,"$2,070 ","$2,320 ","$2,930 ","$3,720 ","$4,130 "
90716,"$1,800 ","$2,020 ","$2,550 ","$3,240 ","$3,590 "
90717,"$1,780 ","$2,000 ","$2,520 ","$3,200 ","$3,550 "
90723,"$1,630 ","$1,820 ","$2,300 ","$2,940 ","$3,240 "
90731,"$1,690 ","$1,890 ","$2,390 ","$3,040 ","$3,370 "
90732,"$2,550 ","$2,860 ","$3,610 ","$4,590 ","$5,090 "
90733,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90734,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90744,"$1,600 ","$1,810 ","$2,290 ","$2,940 ","$3,240 "
90745,"$1,810 ","$2,030 ","$2,560 ","$3,250 ","$3,610 "
90746,"$2,590 ","$2,900 ","$3,660 ","$4,650 ","$5,160 "
90747,"$2,590 ","$2,900 ","$3,660 ","$4,650 ","$5,160 "
